;Acao;Data;Hora;Descrição;Link
0;BRSR3;10/12/2021;18:29;PAGAMENTO DE JUROS SOBRE CAPITAL PRÓPRIO REFERENTE AO 4º TRIMESTRE DE 2021;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=924795&descTipo=IPE&CodigoInstituicao=1
1;BRSR3;09/12/2021;18:39;Live com a presença de executivo da companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=924054&descTipo=IPE&CodigoInstituicao=1
2;BRSR3;08/12/2021;18:27;Banriday 2021;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=923517&descTipo=IPE&CodigoInstituicao=1
3;BRSR3;24/11/2021;18:35;LIVE COM A PRESENÇA DE EXECUTIVO DA COMPANHIA;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=920096&descTipo=IPE&CodigoInstituicao=1
4;BRSR3;26/10/2021;18:53;Autorização do Bacen para que as Notas Subordinadas emitidas em janeiro de 2021 componham o Capital de Nível 2;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=910137&descTipo=IPE&CodigoInstituicao=1
5;BRSR3;22/09/2021;17:26;Participação em Live - Genial;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=902699&descTipo=IPE&CodigoInstituicao=1
6;BRSR3;31/08/2021;18:10;Distribuição de Juros Sobre o Capital Próprio referente ao 3T2021;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=897366&descTipo=IPE&CodigoInstituicao=1
7;BRSR3;20/08/2021;17:26;Novo Diretor Institucional;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=895441&descTipo=IPE&CodigoInstituicao=1
8;BRSR3;16/08/2021;18:28;Reunião Assembleia Legislativa RS;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=893946&descTipo=IPE&CodigoInstituicao=1
9;BRSR3;12/08/2021;18:02;Modificação de Projeções Divulgadas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=892767&descTipo=IPE&CodigoInstituicao=1
10;BRSR3;23/07/2021;17:42;Formalização do Termo Aditivo ao Contrato da Folha de Pagamento do Estado do RS;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=885881&descTipo=IPE&CodigoInstituicao=1
11;BRSR3;14/07/2021;18:17;Implementação de Operação Estratégica - Banrisul Cartões ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=883863&descTipo=IPE&CodigoInstituicao=1
12;BRSR3;07/07/2021;17:26;Evento Agroshow;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=881983&descTipo=IPE&CodigoInstituicao=1
13;BRSR3;01/07/2021;17:31;Nova Diretora Administrativa;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=880417&descTipo=IPE&CodigoInstituicao=1
14;BRSR3;15/06/2021;18:21;Participação em Evento Online;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=876450&descTipo=IPE&CodigoInstituicao=1
15;BRSR3;10/06/2021;17:43;Encerramento de Agência no Exterior;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=875474&descTipo=IPE&CodigoInstituicao=1
16;BRSR3;01/06/2021;17:23;Pagamento de JSCP 2T21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=872706&descTipo=IPE&CodigoInstituicao=1
17;BRSR3;28/05/2021;17:30;Pagamento de JSCP 2T21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=871996&descTipo=IPE&CodigoInstituicao=1
18;BRSR3;28/04/2021;19:12;Renegociação Folha do Estado do RS;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=858707&descTipo=IPE&CodigoInstituicao=1
19;BRSR3;27/04/2021;19:55;Dividendos Complementares ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=858006&descTipo=IPE&CodigoInstituicao=1
