;Acao;Data;Hora;Descrição;Link
0;CASH3;14/07/2022;19:47;Prévia Operacional 2T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=998201&descTipo=IPE&CodigoInstituicao=1
1;CASH3;30/05/2022;23:04;Alteração relevante na participação dos controladores da Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=986162&descTipo=IPE&CodigoInstituicao=1
2;CASH3;30/05/2022;22:42;Incorporação de Ações Acessopar (Bankly);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=986160&descTipo=IPE&CodigoInstituicao=1
3;CASH3;20/05/2022;08:58;Méliuz anuncia parceria com a startup Liqi;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=983696&descTipo=IPE&CodigoInstituicao=1
4;CASH3;10/05/2022;10:49;Apresentação webcast de resultados 1T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=979158&descTipo=IPE&CodigoInstituicao=1
5;CASH3;28/04/2022;08:47;Incorporação de Ações - Acessopar (Bankly);https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=971967&descTipo=IPE&CodigoInstituicao=1
6;CASH3;20/04/2022;18:11;Agenda Divulgação de Resultados 1T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=968904&descTipo=IPE&CodigoInstituicao=1
7;CASH3;13/04/2022;20:05;Prévia Operacional 1T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=967229&descTipo=IPE&CodigoInstituicao=1
8;CASH3;31/03/2022;18:13;Banco Central aprova mudança de controle do Bankly;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=962312&descTipo=IPE&CodigoInstituicao=1
9;CASH3;23/03/2022;17:32;Novo membro do Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=957284&descTipo=IPE&CodigoInstituicao=1
10;CASH3;11/03/2022;09:05;Agenda Divulgação de Resultados 4T21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=952969&descTipo=IPE&CodigoInstituicao=1
11;CASH3;10/03/2022;21:21;Incorporação de Ações Alter;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=952795&descTipo=IPE&CodigoInstituicao=1
12;CASH3;31/01/2022;18:59;Méliuz lança novo aplicativo que integra shopping e serviços financeiros em um único ecossistema;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=936899&descTipo=IPE&CodigoInstituicao=1
13;CASH3;27/01/2022;18:22;Prévia Operacional 4T21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=935998&descTipo=IPE&CodigoInstituicao=1
14;CASH3;04/01/2022;19:05;Méliuz anuncia parceria com a Mastercard;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=930660&descTipo=IPE&CodigoInstituicao=1
15;CASH3;10/12/2021;19:13;Méliuz anuncia aquisição da Muambator;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=924917&descTipo=IPE&CodigoInstituicao=1
16;CASH3;02/12/2021;18:21;Méliuz anuncia GMV recorde de R$ 923 milhões no Festival das Blacks;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=921822&descTipo=IPE&CodigoInstituicao=1
17;CASH3;19/11/2021;09:09;Distrato Banco Pan;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=918789&descTipo=IPE&CodigoInstituicao=1
18;CASH3;16/11/2021;19:55;Divulgação de resultados 3T21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=917758&descTipo=IPE&CodigoInstituicao=1
19;CASH3;29/10/2021;18:36; Mudança na Diretoria Executiva;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=911500&descTipo=IPE&CodigoInstituicao=1
20;CASH3;27/10/2021;19:18;Agenda Divulgação de Resultados 3T21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=910613&descTipo=IPE&CodigoInstituicao=1
21;CASH3;13/10/2021;18:31;Participação em Live - Tato Barros;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=907355&descTipo=IPE&CodigoInstituicao=1
22;CASH3;07/10/2021;19:44;Méliuz e Captalys fazem parceria para oferecer produto de crédito;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=906230&descTipo=IPE&CodigoInstituicao=1
23;CASH3;05/10/2021;22:14;Prévia Operacional 3T21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=905564&descTipo=IPE&CodigoInstituicao=1
24;CASH3;04/10/2021;09:23;Data de divulgação da prévia operacional e resultado do 3T21;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=905009&descTipo=IPE&CodigoInstituicao=1
25;CASH3;26/08/2021;21:34;Comunicado ao Mercado;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=896473&descTipo=IPE&CodigoInstituicao=1
26;CASH3;23/08/2021;09:47;Participação em Live - Bastter;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=895668&descTipo=IPE&CodigoInstituicao=1
27;CASH3;18/08/2021;19:47;Participação em Live - Empiricus;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=894827&descTipo=IPE&CodigoInstituicao=1
28;CASH3;18/08/2021;19:14;Participação em Live - Empiricus;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=894803&descTipo=IPE&CodigoInstituicao=1
