;Acao;Data;Hora;Descrição;Link
0;PETR3;21/07/2022;18:15;Relatório de Produção e Vendas 2T22;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=999499&descTipo=IPE&CodigoInstituicao=1
1;PETR3;20/07/2022;21:10;Petrobras sobre notícias veiculadas na mídia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=999310&descTipo=IPE&CodigoInstituicao=1
2;PETR3;20/07/2022;09:04;Petrobras sobre pagamento de remuneração aos acionistas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=999101&descTipo=IPE&CodigoInstituicao=1
3;PETR3;19/07/2022;14:44;Petrobras sobre notícias veiculadas na mídia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=998899&descTipo=IPE&CodigoInstituicao=1
4;PETR3;19/07/2022;10:53;Petrobras sobre melhora na perspectiva de crédito pela Fitch;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=998848&descTipo=IPE&CodigoInstituicao=1
5;PETR3;18/07/2022;17:06;Petrobras sobre deliberações do Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=998720&descTipo=IPE&CodigoInstituicao=1
6;PETR3;15/07/2022;19:48;Petrobras conclui oferta de recompra de títulos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=998446&descTipo=IPE&CodigoInstituicao=1
7;PETR3;15/07/2022;19:14;Petrobras sobre recompra de debêntures;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=998438&descTipo=IPE&CodigoInstituicao=1
8;PETR3;15/07/2022;08:59;Petrobras sobre venda de ativos de refino e logística ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=998255&descTipo=IPE&CodigoInstituicao=1
9;PETR3;13/07/2022;20:08;Petrobras sobre manifestação do Comitê de Elegibilidade;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=997942&descTipo=IPE&CodigoInstituicao=1
10;PETR3;13/07/2022;08:46;Petrobras sobre resultado da oferta de recompra de títulos;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=997758&descTipo=IPE&CodigoInstituicao=1
11;PETR3;12/07/2022;19:12;Petrobras sobre notícias veiculadas na mídia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=997673&descTipo=IPE&CodigoInstituicao=1
12;PETR3;12/07/2022;18:28;Petrobras sobre venda de participação em empresa do setor elétrico ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=997639&descTipo=IPE&CodigoInstituicao=1
13;PETR3;11/07/2022;20:17;Petrobras sobre Projeto Integrado Rota 3;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=997408&descTipo=IPE&CodigoInstituicao=1
14;PETR3;11/07/2022;19:33;Petrobras sobre bloco Alto de Cabo Frio Central;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=997381&descTipo=IPE&CodigoInstituicao=1
15;PETR3;11/07/2022;18:05;Petrobras conclui venda da Gaspetro ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=997249&descTipo=IPE&CodigoInstituicao=1
16;PETR3;11/07/2022;08:55;Petrobras sobre empréstimo vinculado à sustentabilidade;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=997043&descTipo=IPE&CodigoInstituicao=1
17;PETR3;07/07/2022;18:34;Petrobras sobre resultado do 2º trimestre de 2022;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=996314&descTipo=IPE&CodigoInstituicao=1
18;PETR3;06/07/2022;09:12;Petrobras sobre oferta de recompra de títulos globais;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=995645&descTipo=IPE&CodigoInstituicao=1
19;PETR3;05/07/2022;18:54;Petrobras sobre venda de sua participação na Deten;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=995449&descTipo=IPE&CodigoInstituicao=1
20;PETR3;01/07/2022;18:50;Petrobras assina acordo com a ANP ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=994872&descTipo=IPE&CodigoInstituicao=1
21;PETR3;28/06/2022;11:49;Petrobras sobre posse de Presidente;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=993479&descTipo=IPE&CodigoInstituicao=1
22;PETR3;27/06/2022;18:35;Petrobras divulga teasers para venda de ativos em refino e logística no país;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=993306&descTipo=IPE&CodigoInstituicao=1
23;PETR3;27/06/2022;13:27;Petrobras aprova eleição de Presidente;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=993182&descTipo=IPE&CodigoInstituicao=1
24;PETR3;24/06/2022;21:28;Petrobras sobre Reunião do Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=993073&descTipo=IPE&CodigoInstituicao=1
25;PETR3;24/06/2022;20:04;Petrobras sobre manifestação do Comitê de Elegibilidade;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=993055&descTipo=IPE&CodigoInstituicao=1
26;PETR3;24/06/2022;18:10;Petrobras sobre venda de ativos de E&P na Bacia do Espírito Santo;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=992983&descTipo=IPE&CodigoInstituicao=1
27;PETR3;23/06/2022;19:59;Petrobras sobre venda de ativos de E&P na Bacia do Espírito Santo;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=992747&descTipo=IPE&CodigoInstituicao=1
28;PETR3;22/06/2022;19:42;Petrobras sobre venda da Gaspetro;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=992468&descTipo=IPE&CodigoInstituicao=1
29;PETR3;21/06/2022;22:53;Petrobras sobre ofício do Ministério das Minas e Energia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=992263&descTipo=IPE&CodigoInstituicao=1
30;PETR3;21/06/2022;18:51;Petrobras sobre reunião do Comitê de Elegibilidade;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=992157&descTipo=IPE&CodigoInstituicao=1
31;PETR3;21/06/2022;11:09;Petrobras sobre notícias veiculadas na mídia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=992005&descTipo=IPE&CodigoInstituicao=1
32;PETR3;20/06/2022;11:19;Petrobras sobre Presidente Interino;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=991774&descTipo=IPE&CodigoInstituicao=1
33;PETR3;20/06/2022;10:24;Petrobras sobre mudança na Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=991748&descTipo=IPE&CodigoInstituicao=1
34;PETR3;20/06/2022;10:02;Petrobras sobre mudança na Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=991736&descTipo=IPE&CodigoInstituicao=1
35;PETR3;20/06/2022;08:34;Petrobras sobre pagamento de remuneração aos acionistas;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=991727&descTipo=IPE&CodigoInstituicao=1
36;PETR3;17/06/2022;21:54;Petrobras sobre candidatos indicados por acionistas minoritários para o Conselho de Administração;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=991693&descTipo=IPE&CodigoInstituicao=1
37;PETR3;17/06/2022;16:35;Petrobras sobre notícias veiculadas na mídia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=991477&descTipo=IPE&CodigoInstituicao=1
38;PETR3;15/06/2022;20:10;Petrobras sobre venda da LUBNOR;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=991177&descTipo=IPE&CodigoInstituicao=1
39;PETR3;15/06/2022;09:13;Petrobras sobre liminar para suspender venda do Polo Bahia Terra;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=990924&descTipo=IPE&CodigoInstituicao=1
40;PETR3;14/06/2022;19:31;Petrobras sobre notícias veiculadas na mídia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=990825&descTipo=IPE&CodigoInstituicao=1
41;PETR3;14/06/2022;18:33;Petrobras sobre assinatura de acordo para viabilidade de produção de biometano ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=990792&descTipo=IPE&CodigoInstituicao=1
42;PETR3;14/06/2022;08:50;Petrobras sobre ativo de E&P na Bacia do Espírito Santo;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=990609&descTipo=IPE&CodigoInstituicao=1
43;PETR3;13/06/2022;19:27;Petrobras assina protocolo de intenções na área de Gás Natural;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=990475&descTipo=IPE&CodigoInstituicao=1
44;PETR3;10/06/2022;11:09;Petrobras sobre liminar para suspender venda do Polo Bahia Terra;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=989688&descTipo=IPE&CodigoInstituicao=1
45;PETR3;09/06/2022;23:58;Petrobras sobre ofício do Ministério das Minas e Energia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=989565&descTipo=IPE&CodigoInstituicao=1
46;PETR3;09/06/2022;12:14;Petrobras sobre notícias divulgadas na imprensa ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=989223&descTipo=IPE&CodigoInstituicao=1
47;PETR3;07/06/2022;18:04;Petrobras sobre notícias divulgadas na imprensa ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=988609&descTipo=IPE&CodigoInstituicao=1
48;PETR3;03/06/2022;18:11; Petrobras sobre venda de participação em empresa do setor elétrico ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=987724&descTipo=IPE&CodigoInstituicao=1
49;PETR3;01/06/2022;18:09;Petrobras sobre participação na sociedade Ibiritermo S.A.;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=986895&descTipo=IPE&CodigoInstituicao=1
50;PETR3;01/06/2022;08:59;Petrobras lança novo site sobre preços de combustíveis;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=986685&descTipo=IPE&CodigoInstituicao=1
51;PETR3;31/05/2022;20:00;Petrobras divulga teaser para a venda da UFN III ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=986471&descTipo=IPE&CodigoInstituicao=1
52;PETR3;31/05/2022;08:14;Petrobras arquiva Formulário de Referência 2022;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=986165&descTipo=IPE&CodigoInstituicao=1
53;PETR3;30/05/2022;22:32;Petrobras sobre ofício do Ministério das Minas e Energia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=986158&descTipo=IPE&CodigoInstituicao=1
54;PETR3;25/05/2022;21:31;Petrobras assina contrato para a venda da refinaria LUBNOR;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=984934&descTipo=IPE&CodigoInstituicao=1
55;PETR3;25/05/2022;18:35;Petrobras sobre pedido de convocação de Assembleia Geral Extraordinária ;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=984859&descTipo=IPE&CodigoInstituicao=1
56;PETR3;24/05/2022;18:56;Petrobras sobre notícias divulgadas na imprensa;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=984577&descTipo=IPE&CodigoInstituicao=1
57;PETR3;23/05/2022;23:19;Petrobras sobre ofício do Ministério das Minas e Energia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=984397&descTipo=IPE&CodigoInstituicao=1
