;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;EOY
2000;0.00%;-16.67%;0.07%;19.92%;0.00%;-16.67%;6.67%;0.00%;0.00%;0.00%;0.00%;0.00%;-6.78%
2001;-3.12%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;-3.12%
2002;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2003;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2004;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
2005;0.00%;0.00%;0.00%;100.00%;0.00%;-97.55%;-99.57%;8.72%;10.00%;9.09%;23.33%;1.34%;-26.37%
2006;25.35%;24.44%;0.88%;1.27%;-1.26%;-1.31%;8.20%;1.26%;-1.25%;6.31%;5.75%;8.37%;81.62%
2007;-3.09%;0.47%;-10.67%;7.68%;14.75%;10.03%;-2.48%;-4.44%;8.48%;17.14%;-2.30%;-14.29%;25.97%
2008;-23.33%;21.63%;-1.40%;35.29%;3.32%;-21.28%;-1.54%;-6.02%;-20.34%;-33.19%;-15.41%;18.00%;-40.33%
2009;-9.70%;-0.35%;1.06%;43.78%;8.60%;-0.46%;26.73%;9.12%;3.88%;-0.19%;23.39%;2.88%;106.44%
2010;-8.56%;8.45%;4.56%;19.19%;1.14%;12.64%;20.33%;-3.83%;1.15%;0.00%;0.00%;-1.66%;54.35%
2011;-14.18%;5.37%;5.52%;28.70%;3.10%;-0.58%;-7.87%;9.18%;-15.37%;2.78%;4.11%;-10.68%;12.45%
2012;21.88%;10.81%;-4.10%;14.28%;-5.09%;-3.10%;8.73%;9.22%;2.89%;10.75%;3.92%;3.34%;73.48%
2013;-0.05%;-5.46%;1.60%;15.73%;-2.74%;-13.31%;-5.48%;-4.98%;11.84%;6.25%;-7.41%;-1.21%;-4.10%
2014;-9.13%;4.10%;12.90%;11.03%;3.73%;5.30%;-3.25%;12.12%;-6.29%;4.39%;3.03%;1.23%;40.15%
2015;-7.81%;19.28%;9.41%;23.06%;1.90%;5.76%;-3.64%;-9.52%;-6.39%;0.54%;-5.41%;-2.00%;24.52%
2016;3.74%;1.47%;15.86%;0.81%;0.63%;13.67%;15.07%;-5.98%;-4.26%;10.34%;-16.74%;3.41%;37.96%
2017;3.06%;6.99%;9.12%;6.85%;-1.94%;4.09%;7.01%;4.44%;18.09%;-4.38%;-1.60%;4.83%;57.65%
2018;6.68%;-8.82%;-0.28%;-4.68%;-9.02%;-0.75%;5.14%;-8.42%;9.90%;21.29%;3.99%;8.68%;24.85%
2019;7.31%;-4.88%;1.42%;7.67%;3.34%;7.27%;0.64%;6.51%;0.00%;0.55%;2.07%;8.63%;42.85%
2020;2.24%;-7.22%;-36.91%;15.68%;0.42%;8.62%;-1.60%;5.69%;-8.60%;-5.55%;19.31%;-2.39%;-3.82%
2021;-13.41%;-11.60%;16.41%;-4.18%;15.84%;-5.49%;-6.62%;-7.85%;-9.21%;-6.36%;-2.90%;-13.64%;-47.77%
2022;15.06%;-9.96%;8.61%;5.67%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;20.53%
