Date;Open;High;Low;Close;Adj Close;Volume;MM200;Mayer;Variation;Gain;Loss;Simple RS;Classic RS;Simple RSI;Classic RSI
2010-01-04;28.0;28.0;28.0;28.0;9.37130355834961;0;;;;0.0;0.0;;;;
2010-01-05;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-06;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-07;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-08;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-11;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-12;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-13;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-14;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-15;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-18;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-19;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-20;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-21;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-22;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-26;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-27;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-28;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-01-29;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-01;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-02;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-03;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-04;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-05;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-08;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-09;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-10;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-11;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-12;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-17;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-18;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-19;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-22;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-23;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-24;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-25;28.0;28.0;28.0;28.0;9.37130355834961;0;;;0.0;0.0;0.0;;;;
2010-02-26;35.0;35.0;35.0;35.0;11.714130401611328;100;;;2.3428268432617188;2.3428268432617188;0.0;inf;inf;100.0;100.0
2010-03-01;35.0;35.0;35.0;35.0;11.714130401611328;0;;;0.0;0.0;0.0;inf;inf;100.0;100.0
2010-03-02;32.5;32.5;32.5;32.5;10.877406120300293;100;;;-0.8367242813110352;0.0;-0.8367242813110352;2.799998632274448;2.4142845349713355;73.68420105452878;70.71128695463585
2010-03-03;32.5;32.5;32.5;32.5;10.877406120300293;0;;;0.0;0.0;0.0;2.799998632274448;2.4142845349713355;73.68420105452878;70.71128695463585
2010-03-04;32.5;32.5;32.5;32.5;10.877406120300293;0;;;0.0;0.0;0.0;2.799998632274448;2.4142845349713355;73.68420105452878;70.71128695463585
2010-03-05;32.5;32.5;32.5;32.5;10.877406120300293;0;;;0.0;0.0;0.0;2.799998632274448;2.4142845349713355;73.68420105452878;70.71128695463585
2010-03-08;34.0;34.0;34.0;34.0;11.379439353942871;100;;;0.5020332336425781;0.5020332336425781;0.0;3.3999970365946375;3.2213129548573467;77.27271196587108;76.31068791406882
2010-03-09;34.0;34.0;34.0;34.0;11.379439353942871;0;;;0.0;0.0;0.0;3.3999970365946375;3.2213129548573476;77.27271196587108;76.31068791406884
2010-03-10;34.0;34.0;34.0;34.0;11.379439353942871;0;;;0.0;0.0;0.0;3.3999970365946375;3.221312954857348;77.27271196587108;76.31068791406884
2010-03-11;34.0;34.0;34.0;34.0;11.379439353942871;0;;;0.0;0.0;0.0;3.3999970365946375;3.221312954857348;77.27271196587108;76.31068791406884
2010-03-12;34.0;34.0;34.0;34.0;11.379439353942871;0;;;0.0;0.0;0.0;3.3999970365946375;3.221312954857348;77.27271196587108;76.31068791406884
2010-03-15;34.0099983215332;34.0099983215332;34.0099983215332;34.0099983215332;11.382787704467773;400;;;0.0033483505249023438;0.0033483505249023438;0.0;3.4039987736060886;3.2291096525328054;77.29336334076274;76.35436103197036
2010-03-16;34.0099983215332;34.0099983215332;34.0099983215332;34.0099983215332;11.382787704467773;4900;;;0.0;0.0;0.0;3.4039987736060886;3.229109652532805;77.29336334076274;76.35436103197036
2010-03-17;35.0;35.0;35.0;35.0;11.714130401611328;500;;;0.3313426971435547;0.3313426971435547;0.0;3.7999986322744483;4.123910832265911;79.16666073035616;80.48365725447691
2010-03-18;35.0;35.0;35.0;35.0;11.714130401611328;0;;;0.0;0.0;0.0;1.0;4.123910832265911;50.0;80.48365725447691
2010-03-19;35.0;35.0;35.0;35.0;11.714130401611328;0;;;0.0;0.0;0.0;1.0;4.123910832265912;50.0;80.48365725447691
2010-03-22;35.0;35.0;35.0;35.0;11.714130401611328;0;;;0.0;0.0;0.0;inf;4.123910832265911;100.0;80.48365725447691
2010-03-23;35.0;35.0;35.0;35.0;11.714130401611328;0;;;0.0;0.0;0.0;inf;4.123910832265911;100.0;80.48365725447691
2010-03-24;35.0;35.0;35.0;35.0;11.714130401611328;0;;;0.0;0.0;0.0;inf;4.123910832265912;100.0;80.48365725447691
2010-03-25;35.0;35.0;35.0;35.0;11.714130401611328;0;;;0.0;0.0;0.0;inf;4.123910832265912;100.0;80.48365725447691
2010-03-26;35.0;35.0;35.0;35.0;11.714130401611328;0;;;0.0;0.0;0.0;inf;4.123910832265912;100.0;80.48365725447691
2010-03-29;35.0;35.0;35.0;35.0;11.714130401611328;0;;;0.0;0.0;0.0;inf;4.123910832265912;100.0;80.48365725447691
2010-03-30;35.0;35.0;35.0;35.0;12.141510009765625;0;;;0.4273796081542969;0.4273796081542969;0.0;inf;6.372577548974208;100.0;86.43622270017171
2010-03-31;35.0;35.0;35.0;35.0;12.141510009765625;0;;;0.0;0.0;0.0;inf;6.372577548974207;100.0;86.43622270017171
2010-04-01;35.0;35.0;35.0;35.0;12.141510009765625;0;;;0.0;0.0;0.0;inf;6.372577548974208;100.0;86.43622270017171
2010-04-05;35.0;35.0;35.0;35.0;12.141510009765625;0;;;0.0;0.0;0.0;inf;6.372577548974208;100.0;86.43622270017171
2010-04-06;35.0;35.0;35.0;35.0;12.141510009765625;0;;;0.0;0.0;0.0;inf;6.372577548974209;100.0;86.43622270017173
2010-04-07;35.0;35.0;35.0;35.0;12.141510009765625;0;;;0.0;0.0;0.0;inf;6.372577548974208;100.0;86.43622270017171
2010-04-08;35.0;35.0;35.0;35.0;12.141510009765625;0;;;0.0;0.0;0.0;inf;6.372577548974208;100.0;86.43622270017171
2010-04-09;34.0;34.0;34.0;34.0;11.794610023498535;100;;;-0.34689998626708984;0.0;-0.34689998626708984;1.2319966130677305;1.5671856609680068;55.19706463059696;61.04683758544636
2010-04-12;34.0;34.0;34.0;34.0;11.794610023498535;0;;;0.0;0.0;0.0;1.2319966130677305;1.5671856609680068;55.19706463059696;61.04683758544636
2010-04-13;34.0;34.0;34.0;34.0;11.794610023498535;0;;;0.0;0.0;0.0;1.2319966130677305;1.5671856609680066;55.19706463059696;61.04683758544636
2010-04-14;34.0;34.0;34.0;34.0;11.794610023498535;0;;;0.0;0.0;0.0;1.2319966130677305;1.5671856609680066;55.19706463059696;61.04683758544636
2010-04-15;34.0;34.0;34.0;34.0;11.794610023498535;100;;;0.0;0.0;0.0;1.2319966130677305;1.5671856609680068;55.19706463059696;61.04683758544636
2010-04-16;34.0;34.0;34.0;34.0;11.794610023498535;0;;;0.0;0.0;0.0;1.2319966130677305;1.5671856609680066;55.19706463059696;61.04683758544636
2010-04-19;34.0;34.0;34.0;34.0;11.794610023498535;0;;;0.0;0.0;0.0;1.2319966130677305;1.5671856609680066;55.19706463059696;61.04683758544636
2010-04-20;34.0;34.0;34.0;34.0;11.794610023498535;0;;;0.0;0.0;0.0;0.0;1.5671856609680066;0.0;61.04683758544636
2010-04-22;34.0;34.0;34.0;34.0;11.794610023498535;500;;;0.0;0.0;0.0;0.0;1.5671856609680066;0.0;61.04683758544636
2010-04-23;34.0;34.0;34.0;34.0;11.794610023498535;0;;;0.0;0.0;0.0;0.0;1.5671856609680068;0.0;61.04683758544636
