Date;Open;High;Low;Close;Adj Close;Volume;MM200;Mayer;Variation;Gain;Loss;Simple RS;Classic RS;Simple RSI;Classic RSI
2010-01-04;30.0;30.0;30.0;30.0;11.869538307189941;0;;;;0.0;0.0;;;;
2010-01-05;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-06;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-07;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-08;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-11;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-12;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-13;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-14;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-15;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-18;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-19;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-20;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-21;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-22;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-26;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-27;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-28;30.0;30.0;30.0;30.0;11.869538307189941;0;;;0.0;0.0;0.0;;;;
2010-01-29;29.0;29.0;29.0;29.0;11.47388744354248;2000;;;-0.39565086364746094;0.0;-0.39565086364746094;0.0;0.0;0.0;0.0
2010-02-01;29.0;29.0;29.0;29.0;11.47388744354248;0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-02-02;29.0;29.0;29.0;29.0;11.47388744354248;0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-02-03;29.0;29.0;29.0;29.0;11.47388744354248;0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-02-04;29.0;29.0;29.0;29.0;11.47388744354248;0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-02-05;29.0;29.0;29.0;29.0;11.47388744354248;0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2010-02-08;35.0;35.0;35.0;35.0;13.847794532775879;500;;;2.3739070892333984;2.3739070892333984;0.0;6.000004820787234;9.359651956041978;85.71429555262023;90.34716606075962
2010-02-09;35.0;35.0;35.0;35.0;13.847794532775879;0;;;0.0;0.0;0.0;6.000004820787234;9.359651956041978;85.71429555262023;90.34716606075962
2010-02-10;35.0;35.0;35.0;35.0;13.847794532775879;0;;;0.0;0.0;0.0;6.000004820787234;9.359651956041976;85.71429555262023;90.34716606075962
2010-02-11;35.0;35.0;35.0;35.0;13.847794532775879;0;;;0.0;0.0;0.0;6.000004820787234;9.359651956041976;85.71429555262023;90.34716606075962
2010-02-12;35.0;35.0;35.0;35.0;13.847794532775879;0;;;0.0;0.0;0.0;6.000004820787234;9.359651956041976;85.71429555262023;90.34716606075962
2010-02-17;35.0;35.0;35.0;35.0;13.847794532775879;0;;;0.0;0.0;0.0;6.000004820787234;9.359651956041974;85.71429555262023;90.34716606075962
2010-02-18;35.0;35.0;35.0;35.0;13.847794532775879;0;;;0.0;0.0;0.0;6.000004820787234;9.359651956041976;85.71429555262023;90.34716606075962
2010-02-19;35.0;35.0;35.0;35.0;13.847794532775879;0;;;0.0;0.0;0.0;6.000004820787234;9.359651956041974;85.71429555262023;90.34716606075962
