;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
0;01/04/2022;0,0172;JRS CAP PROPRIO;02/05/2022 ;1;BBDC3
1;02/03/2022;0,0172;JRS CAP PROPRIO;01/04/2022 ;1;BBDC3
2;01/02/2022;0,0172;JRS CAP PROPRIO;02/03/2022 ;1;BBDC3
3;03/01/2022;0,0172;JRS CAP PROPRIO;01/02/2022 ;1;BBDC3
4;20/12/2021;0,0197;JRS CAP PROPRIO;30/12/2021 ;1;BBDC3
5;20/12/2021;0,1966;DIVIDENDO;30/12/2021 ;1;BBDC3
6;01/12/2021;0,0172;JRS CAP PROPRIO;03/01/2022 ;1;BBDC3
7;01/11/2021;0,0172;JRS CAP PROPRIO;01/12/2021 ;1;BBDC3
8;01/10/2021;0,0172;JRS CAP PROPRIO;01/11/2021 ;1;BBDC3
9;01/09/2021;0,0172;JRS CAP PROPRIO;01/10/2021 ;1;BBDC3
10;02/08/2021;0,0172;JRS CAP PROPRIO;01/09/2021 ;1;BBDC3
11;02/07/2021;0,4900;JRS CAP PROPRIO;12/07/2021 ;1;BBDC3
12;01/07/2021;0,0172;JRS CAP PROPRIO;02/08/2021 ;1;BBDC3
13;01/06/2021;0,0172;JRS CAP PROPRIO;01/07/2021 ;1;BBDC3
14;03/05/2021;0,0172;JRS CAP PROPRIO;01/06/2021 ;1;BBDC3
15;01/04/2021;0,0172;JRS CAP PROPRIO;03/05/2021 ;1;BBDC3
16;01/03/2021;0,0172;JRS CAP PROPRIO;01/04/2021 ;1;BBDC3
17;17/02/2021;0,0198;JRS CAP PROPRIO;08/03/2021 ;1;BBDC3
18;01/02/2021;0,0172;JRS CAP PROPRIO;01/03/2021 ;1;BBDC3
19;04/01/2021;0,0172;JRS CAP PROPRIO;01/02/2021 ;1;BBDC3
20;28/12/2020;0,3775;JRS CAP PROPRIO;07/01/2021 ;1;BBDC3
21;01/12/2020;0,0172;JRS CAP PROPRIO;04/01/2021 ;1;BBDC3
22;03/11/2020;0,0172;JRS CAP PROPRIO;01/12/2020 ;1;BBDC3
23;01/10/2020;0,0172;JRS CAP PROPRIO;03/11/2020 ;1;BBDC3
24;01/09/2020;0,0172;JRS CAP PROPRIO;01/10/2020 ;1;BBDC3
25;03/08/2020;0,0172;JRS CAP PROPRIO;01/09/2020 ;1;BBDC3
26;01/07/2020;0,0172;JRS CAP PROPRIO;03/08/2020 ;1;BBDC3
27;01/06/2020;0,0172;JRS CAP PROPRIO;01/07/2020 ;1;BBDC3
28;04/05/2020;0,0172;JRS CAP PROPRIO;01/06/2020 ;1;BBDC3
29;01/04/2020;0,0172;JRS CAP PROPRIO;04/05/2020 ;1;BBDC3
30;02/03/2020;0,0172;JRS CAP PROPRIO;01/04/2020 ;1;BBDC3
31;17/02/2020;0,0582;DIVIDENDO;28/02/2020 ;1;BBDC3
32;03/02/2020;0,0172;JRS CAP PROPRIO;02/03/2020 ;1;BBDC3
33;02/01/2020;0,0172;JRS CAP PROPRIO;03/02/2020 ;1;BBDC3
34;19/12/2019;0,5034;JRS CAP PROPRIO;30/12/2019 ;1;BBDC3
35;02/12/2019;0,0172;JRS CAP PROPRIO;02/01/2020 ;1;BBDC3
36;01/11/2019;0,0172;JRS CAP PROPRIO;02/12/2019 ;1;BBDC3
37;17/10/2019;0,9487;DIVIDENDO;23/10/2019 ;1;BBDC3
38;01/10/2019;0,0172;JRS CAP PROPRIO;01/11/2019 ;1;BBDC3
39;02/09/2019;0,0172;JRS CAP PROPRIO;01/10/2019 ;1;BBDC3
40;01/08/2019;0,0172;JRS CAP PROPRIO;02/09/2019 ;1;BBDC3
41;01/07/2019;0,0172;JRS CAP PROPRIO;01/08/2019 ;1;BBDC3
