;Data;Valor;Tipo;Data de Pagamento;Por quantas ações
0;27/09/2021;0,0118;JRS CAP PROPRIO;22/10/2021 ;1
1;06/07/2021;0,0177;JRS CAP PROPRIO;30/07/2021 ;1
2;05/05/2021;0,0026;DIVIDENDO;17/05/2021 ;1
3;07/01/2021;0,0251;JRS CAP PROPRIO;30/04/2021 ;1
4;10/09/2020;0,1491;JRS CAP PROPRIO;30/04/2021 ;1
5;28/04/2020;0,0165;DIVIDENDO;30/12/2020 ;1
6;03/01/2020;0,1597;JRS CAP PROPRIO;30/04/2020 ;1
7;02/07/2019;0,1554;JRS CAP PROPRIO;30/04/2020 ;1
8;22/04/2019;0,1217;DIVIDENDO;30/04/2019 ;1
9;14/12/2018;0,1843;JRS CAP PROPRIO;30/04/2019 ;1
