;Data;Valor;Tipo;Data de Pagamento;Por quantas ações
0;06/12/2021;0,1955;JRS CAP PROPRIO;29/12/2021 ;1
1;06/12/2021;0,3106;DIVIDENDO;29/12/2021 ;1
2;18/05/2021;0,0629;JRS CAP PROPRIO;27/05/2021 ;1
3;18/05/2021;0,3886;DIVIDENDO;27/05/2021 ;1
4;04/05/2021;0,5437;DIVIDENDO;27/05/2021 ;1
5;15/12/2020;0,0525;JRS CAP PROPRIO;28/12/2020 ;1
6;16/11/2020;0,0565;JRS CAP PROPRIO;25/11/2020 ;1
7;16/11/2020;0,3975;DIVIDENDO;25/11/2020 ;1
8;17/08/2020;0,0569;JRS CAP PROPRIO;26/08/2020 ;1
9;17/08/2020;0,2134;DIVIDENDO;26/08/2020 ;1
10;19/05/2020;0,0593;JRS CAP PROPRIO;28/05/2020 ;1
11;19/05/2020;0,1746;DIVIDENDO;28/05/2020 ;1
12;06/05/2020;0,0598;DIVIDENDO;15/05/2020 ;1
13;16/12/2019;0,0601;JRS CAP PROPRIO;27/12/2019 ;1
14;19/11/2019;0,0633;JRS CAP PROPRIO;29/11/2019 ;1
15;19/11/2019;0,1172;DIVIDENDO;29/11/2019 ;1
16;08/08/2019;0,0665;JRS CAP PROPRIO;19/08/2019 ;1
17;08/08/2019;0,1742;DIVIDENDO;19/08/2019 ;1
18;17/05/2019;0,0754;JRS CAP PROPRIO;28/05/2019 ;1
19;17/05/2019;0,0183;DIVIDENDO;28/05/2019 ;1
20;03/05/2019;0,0553;DIVIDENDO;14/05/2019 ;1
21;17/12/2018;0,1331;JRS CAP PROPRIO;- ;1
22;09/11/2018;0,2372;DIVIDENDO;- ;1
23;09/08/2018;0,0702;JRS CAP PROPRIO;- ;1
24;09/08/2018;0,0888;DIVIDENDO;- ;1
25;14/05/2018;0,0636;JRS CAP PROPRIO;- ;1
26;14/05/2018;0,1820;DIVIDENDO;-  ;1
27;02/05/2018;0,1542;DIVIDENDO;- ;1
28;18/12/2017;0,0901;JRS CAP PROPRIO;- ;1
29;16/11/2017;0,0464;JRS CAP PROPRIO;- ;1
30;16/11/2017;0,0430;DIVIDENDO;- ;1
31;16/08/2017;0,0670;JRS CAP PROPRIO;- ;1
32;16/08/2017;0,0007;DIVIDENDO;- ;1
33;22/05/2017;0,0756;JRS CAP PROPRIO;- ;1
34;22/05/2017;0,0968;DIVIDENDO;- ;1
35;04/05/2017;0,1691;DIVIDENDO;- ;1
36;23/11/2016;0,1423;JRS CAP PROPRIO;- ;1
37;23/11/2016;0,0404;DIVIDENDO;- ;1
38;17/08/2016;0,0237;JRS CAP PROPRIO;- ;1
39;17/08/2016;0,1684;DIVIDENDO;- ;1
40;24/05/2016;0,1242;JRS CAP PROPRIO;- ;1
41;24/05/2016;0,0901;DIVIDENDO;- ;1
42;18/04/2016;0,3122;DIVIDENDO;- ;1
43;18/12/2015;0,0793;JRS CAP PROPRIO;- ;1
44;18/12/2015;0,1067;DIVIDENDO;- ;1
45;17/09/2015;0,1574;JRS CAP PROPRIO;- ;1
46;17/09/2015;0,1426;DIVIDENDO;- ;1
47;22/04/2015;0,2465;DIVIDENDO;- ;1
48;04/12/2014;0,1906;JRS CAP PROPRIO;- ;1
49;26/09/2014;0,3870;DIVIDENDO;- ;1
50;30/04/2014;0,4003;DIVIDENDO;- ;1
51;12/12/2013;0,2032;DIVIDENDO;- ;1
52;12/12/2013;0,1838;JRS CAP PRÓPRIO;- ;1
53;30/04/2013;0,3476;DIVIDENDO;- ;1
54;18/12/2012;0,1548;DIVIDENDO;- ;1
55;27/04/2012;1,6263;DIVIDENDO;- ;1
56;27/04/2011;1,5454;DIVIDENDO;- ;1
57;27/04/2011;1,2653;DIVIDENDO;- ;1
58;08/11/2010;0,4035;DIVIDENDO;- ;1
59;16/10/2009;1,1478;DIVIDENDO;- ;1
60;10/03/2009;0,0345;DIVIDENDO;- ;1
61;30/07/2008;0,3214;DIVIDENDO;- ;1
62;10/03/2008;0,2072;DIVIDENDO;- ;1
63;10/03/2008;0,0468;JRS CAP PRÓPRIO;- ;1
64;08/08/2007;0,4049;DIVIDENDO;- ;1
65;08/08/2007;0,0676;JRS CAP PRÓPRIO;- ;1
66;21/03/2007;0,3571;DIVIDENDO;- ;1
