;papel;tipo;empresa;setor;cotacao;dt_ult_cotacao;min_52_sem;max_52_sem;vol_med;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativo;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec;ativo;disponibilidades;ativo_circulante;divd_bruta;divd_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
0;AALR3;ON NM;ALLIAR ON NM;Serv.Méd.Hospit. Análises e Diagnósticos;16,75;03/02/2022;8,63;18,65;11.835.700;1.981.410.000;2.596.540.000;30/09/2021;118293000;0.18;51.55;0.32;1.64;10.19;15.72;31.4;1.71;10.9;0.76;4.1;-44.03;4.8;-2.48;5.3;0.0;3.2;10.46;0.93;20.60;-0.4;2.604.540.000;152.402.000;566.594.000;767.534.000;615.132.000;1.205.650.000;38.439.000;5.153.000
1;ABCB4;PN N2;ABC Brasil PN N2;Intermediários Financeiros;16,22;03/02/2022;13,52;17,73;14.130.500;3.667.180.000;-;30/09/2021;226090000;-0.06;7.08;2.29;0.81;20.15;0;0;0;0;0;0.0;0;0.0;0;0;5.6;11.4;0;0;0;-18.7;49.883.100.000;0;0;0;0;4.554.960.000;517.993.000;151.460.000
2;ABEV3;ON;AMBEV S/A ON;Bebidas;14,46;03/02/2022;13,31;18,95;318.719.000;227.665.000.000;210.692.000.000;30/09/2021;15744500000;-0.41;14.36;1.01;2.62;5.51;14.57;51.9;3.28;22.5;1.68;23.4;32.11;11.6;-25.96;16.1;4.2;18.3;10.19;1.23;13.48;9.9;135.133.000.000;20.000.700.000;38.197.100.000;3.027.710.000;-16.973.000.000;86.771.200.000;15.849.700.000;3.552.530.000
3;ADHM3;ON;ADVANCED-DH ON;;1,56;28/12/2020;1,07;3,24;2.064;25.440.500;25.440.500;30/09/2019;16308000;0.00;-4.09;-0.38;-1.29;-1.21;-5.69;100.0;770.92;-13548.5;105.13;-18860.6;-1.43;-1847.5;-1.27;521.7;0.0;31.5;-5.81;0.00;-5.69;43.5;242.000;0;23.000;0;0;-19.776.000;-6.224.000;-2.492.000
4;AERI3;ON NM;AERIS ON NM;Máquinas e Equipamentos;6,23;03/02/2022;5,80;11,97;14.126.100;4.773.510.000;5.308.140.000;30/09/2021;766213000;-5.03;71.56;0.09;4.69;1.33;27.14;10.0;1.80;6.6;1.61;2.5;3.49;5.9;-284.76;10.3;0.0;6.6;25.47;3.40;30.18;0;2.970.180.000;905.055.000;1.936.460.000;1.439.680.000;534.626.000;1.016.960.000;66.710.000;9.315.000
5;AESB3;ON NM;AES BRASIL ON NM;Energia Elétrica;11,60;03/02/2022;10,24;17,40;11.901.800;5.708.440.000;10.909.500.000;30/09/2021;492106000;1.13;12.81;0.91;2.57;4.52;64.80;16.8;4.67;7.2;0.52;36.4;1021.56;0.8;-0.86;0.9;1.6;20.0;123.85;1.00;123.85;0;10.919.000.000;731.674.000;1.215.190.000;5.932.720.000;5.201.040.000;2.223.480.000;445.672.000;422.475.000
6;AFLT3;ON;AFLUENTE T ON;Energia Elétrica;8,60;03/02/2022;8,06;10,65;4.204;542.531.000;523.360.000;30/09/2021;63085000;-2.27;27.54;0.31;3.04;2.83;27.22;67.4;13.96;51.3;2.76;50.7;12.29;10.1;17.21;11.4;7.3;11.0;26.15;9.63;26.26;10.8;196.426.000;19.758.000;49.277.000;587.000;-19.171.000;178.674.000;19.697.000;6.936.000
7;AGRO3;ON NM;BRASILAGRO ON NM;Agropecuária;28,15;03/02/2022;19,76;32,85;16.576.500;2.881.910.000;2.487.760.000;30/09/2021;102377000;-2.76;7.84;3.59;1.24;22.71;5.89;38.6;1.96;33.2;0.81;24.9;2.35;13.7;4.14;23.3;9.3;15.8;3.68;2.72;5.09;49.0;3.569.020.000;1.192.780.000;1.940.570.000;798.628.000;-394.148.000;2.324.940.000;367.393.000;125.401.000
8;AGXY3;ON NM;AGROGALAXY ON NM;Agropecuária;12,00;03/02/2022;7,00;12,00;1.046.990;2.049.900.000;2.803.640.000;30/09/2021;170825000;0.00;22.56;0.53;1.50;7.99;11.78;12.3;0.36;3.0;0.34;1.4;3.16;2.9;50.77;6.0;0.0;6.7;11.23;1.16;16.11;0;5.967.490.000;585.217.000;4.636.450.000;1.338.960.000;753.744.000;1.364.840.000;90.857.000;70.969.000
9;AHEB3;ON;PARQUE ANHEMBI ON;Viagens e Lazer;27,50;05/01/2022;20,00;28,90;4.183;234.960.000;228.308.000;30/09/2021;8544000;0.00;-3.88;-7.08;-4.89;-5.63;-5.91;22.6;1.23;-20.8;0.83;-31.7;-3.36;-14.1;-0.88;-15.0;0.0;125.9;-7.20;0.47;-5.74;33.1;281.956.000;6.652.000;62.756.000;0;-6.652.000;-48.063.000;-60.533.000;-5.379.000
